IDNumber,data,Age,age_range,Gender,HighestEducation,Ethnicity,Region,q0014,q0015,q0016,q0022,q0023,q0024,q0025,q0026,q0027,q0028,q0029,q0031,q0033,q0034,q0036,q0037,q0039,q0040,q0041,q0042,q0043,q0045,q0046,q0047,q0048,q0050,q0053,q0055,q0056,q0057,q0058,q0060,q0061,q0063,q0064,q0065,q0066,q0069,q0071,q0072,q0073,q0074,q0075,q0076,q0079,q0080,q0081,q0084,q0086,q0087,q0088,q0090,q0091,q0092,q0094,q0095,q0096,q0097,q0099,q0100,q0103,q0105,q0107,q0108,q0109,q0110,q0111,q0112,q0113,q0114,q0118,q0119,q0120,q0121,q0122,q0123,q0124,q0125,q0129,q0131,TOT_raw,SOC_raw,VIS_raw,HEA_raw,TOU_raw,TS_raw,BOD_raw,BAL_raw,PLA_raw,TOT_NT,SOC_NT,VIS_NT,HEA_NT,TOU_NT,TS_NT,BOD_NT,BAL_NT,PLA_NT
100001,In-house-Eng,48,41.00 to 50.99 years,Male,Bachelor's degree or higher,White,west,1,2,1,2,2,1,1,1,3,1,1,2,2,1,1,1,1,2,1,1,1,2,1,3,1,1,1,3,2,4,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,75,15,13,19,13,10,10,10,12,47,48,51,59,48,36,40,39,47
100002,In-house-Eng,34,31.00 to 40.99 years,Female,Bachelor's degree or higher,White,west,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,62,13,10,11,10,10,10,11,11,35,43,38,41,34,36,40,47,44
100003,In-house-Eng,42,41.00 to 50.99 years,Male,Bachelor's degree or higher,Black,west,1,1,1,1,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,15,10,11,12,10,10,10,10,37,48,38,41,45,36,40,39,37
100005,In-house-Eng,26,21.00 to 30.99 years,Male,Some college or associate degree,White,west,1,2,2,1,1,1,1,2,1,1,3,2,1,1,1,1,1,4,1,1,3,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,3,2,1,3,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85,13,16,15,15,15,12,12,10,53,43,57,52,54,52,51,51,37
100010,In-house-Eng,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,west,2,3,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,79,19,12,15,15,15,10,12,14,50,56,48,52,54,52,40,51,51
100011,In-house-Eng,25,21.00 to 30.99 years,Female,Bachelor's degree or higher,White,west,2,3,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,2,87,16,14,15,15,16,14,13,16,54,50,53,52,54,54,56,54,55
100014,In-house-Eng,30,21.00 to 30.99 years,Female,Some college or associate degree,Hispanic,west,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,70,13,11,10,14,13,12,10,13,43,43,44,35,51,48,51,39,49
100015,In-house-Eng,37,31.00 to 40.99 years,Male,Some college or associate degree,Hispanic,west,1,4,1,1,2,3,3,2,2,2,1,2,1,1,2,1,1,1,1,1,2,3,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,4,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,76,21,12,15,12,16,11,10,12,48,59,48,52,45,54,47,39,47
119107,SM,26,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,76,13,11,12,14,15,10,14,10,48,43,44,45,51,52,40,56,37
141007,SM,22,21.00 to 30.99 years,Male,Some college or associate degree,White,south,2,3,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,79,19,13,15,13,14,12,12,15,50,56,51,52,48,50,51,51,53
141009,SM,37,31.00 to 40.99 years,Male,Some college or associate degree,White,south,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,2,3,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,3,2,1,2,1,1,2,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,90,18,14,16,12,18,17,13,11,55,54,53,54,45,58,62,54,44
141010,SM,24,21.00 to 30.99 years,Male,Bachelor's degree or higher,White,south,1,2,1,1,1,1,2,3,2,1,3,2,2,2,2,3,2,1,1,2,2,1,2,3,2,1,1,3,2,3,2,1,2,1,2,1,1,1,1,2,2,3,2,3,2,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,97,15,20,20,14,20,11,12,18,58,48,63,61,51,61,47,51,59
141011,SM,23,21.00 to 30.99 years,Female,Some college or associate degree,White,south,2,3,1,2,2,3,3,3,2,1,3,3,1,2,2,2,2,2,3,3,2,3,3,3,2,3,2,4,3,3,2,2,3,1,3,2,1,2,3,2,3,4,2,4,3,2,3,2,3,3,2,3,2,3,2,3,3,1,2,2,2,2,3,2,3,2,2,2,1,2,2,3,3,3,3,2,2,3,2,2,145,22,23,28,21,29,23,21,25,69,60,67,72,64,72,68,65,68
141012,SM,22,21.00 to 30.99 years,Male,High school graduate (including GED),White,south,1,1,4,3,3,1,4,1,3,2,4,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,1,1,4,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,94,23,23,17,15,11,17,11,14,57,62,67,56,54,42,62,47,51
